sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
"Thank You (Marble)-200",,Default,simple,"Default Category/Gift Card",base,"Thank You (Marble)-200",,,0.0150,1,"Taxable Goods","Not Visible Individually",200.0000,,,,thank-you-marble-200,"Thank You (Marble)","Thank You (Marble)","Thank You (Marble) ",/t/h/thankyou-marble_1_3.jpg,,/t/h/thankyou-marble_1_3.jpg,,/t/h/thankyou-marble_1_3.jpg,,/t/h/thankyou-marble_1_3.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=200,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/t/h/thankyou-marble_1_3.jpg,,,,,,,,,,,,
"Thank You (Marble)-50",,Default,simple,"Default Category/Gift Card",base,"Thank You (Marble)-50",,,0.0150,1,"Taxable Goods","Not Visible Individually",50.0000,,,,thank-you-marble-50,"Thank You (Marble)","Thank You (Marble)","Thank You (Marble) ",/t/h/thankyou-marble_1_1.jpg,,/t/h/thankyou-marble_1_1.jpg,,/t/h/thankyou-marble_1_1.jpg,,/t/h/thankyou-marble_1_1.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=50,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/t/h/thankyou-marble_1_1.jpg,,,,,,,,,,,,
"Thank You (Marble)-100",,Default,simple,"Default Category/Gift Card",base,"Thank You (Marble)-100",,,0.0150,1,"Taxable Goods","Not Visible Individually",100.0000,,,,thank-you-marble-100,"Thank You (Marble)","Thank You (Marble)","Thank You (Marble) ",/t/h/thankyou-marble_1_2.jpg,,/t/h/thankyou-marble_1_2.jpg,,/t/h/thankyou-marble_1_2.jpg,,/t/h/thankyou-marble_1_2.jpg,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=100,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/t/h/thankyou-marble_1_2.jpg,,,,,,,,,,,,
"Gold Ribbon-500",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-500",,,0.1500,1,"Taxable Goods","Not Visible Individually",500.0000,,,,gold-ribbon-500,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_4.png,,/g/o/goldribbon_4.png,,/g/o/goldribbon_4.png,,/g/o/goldribbon_4.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=500,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_4.png,,,,,,,,,,,,
"Gold Ribbon-200",,Default,simple,"Default Category/Gift Card",base,"Gold Ribbon-200",,,0.1500,1,"Taxable Goods","Not Visible Individually",200.0000,,,,gold-ribbon-200,"Gold Ribbon","Gold Ribbon","Gold Ribbon ",/g/o/goldribbon_3.png,,/g/o/goldribbon_3.png,,/g/o/goldribbon_3.png,,/g/o/goldribbon_3.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=200,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/goldribbon_3.png,,,,,,,,,,,,
"Original Gold-50",,Default,simple,"Default Category/Gift Card",base,"Original Gold-50",,,0.1500,1,"Taxable Goods","Not Visible Individually",50.0000,,,,original-gold-50,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_1_1.png,,/g/o/gold_gift_card_1_1_1.png,,/g/o/gold_gift_card_1_1_1.png,,/g/o/gold_gift_card_1_1_1.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=50,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_1_1.png,,,,,,,,,,,,
"Original Gold-100",,Default,simple,"Default Category/Gift Card",base,"Original Gold-100",,,0.1500,1,"Taxable Goods","Not Visible Individually",100.0000,,,,original-gold-100,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_2_1.png,,/g/o/gold_gift_card_1_2_1.png,,/g/o/gold_gift_card_1_2_1.png,,/g/o/gold_gift_card_1_2_1.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=100,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_2_1.png,,,,,,,,,,,,
"Original Gold-200",,Default,simple,"Default Category/Gift Card",base,"Original Gold-200",,,0.1500,1,"Taxable Goods","Not Visible Individually",200.0000,,,,original-gold-200,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_3.png,,/g/o/gold_gift_card_1_3.png,,/g/o/gold_gift_card_1_3.png,,/g/o/gold_gift_card_1_3.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=200,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_3.png,,,,,,,,,,,,
"Original Gold-500",,Default,simple,"Default Category/Gift Card",base,"Original Gold-500",,,0.1500,1,"Taxable Goods","Not Visible Individually",500.0000,,,,original-gold-500,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_4.png,,/g/o/gold_gift_card_1_4.png,,/g/o/gold_gift_card_1_4.png,,/g/o/gold_gift_card_1_4.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=500,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_4.png,,,,,,,,,,,,
"Original Gold-700",,Default,simple,"Default Category/Gift Card",base,"Original Gold-700",,,0.1500,1,"Taxable Goods","Not Visible Individually",700.0000,,,,original-gold-700,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_5.png,,/g/o/gold_gift_card_1_5.png,,/g/o/gold_gift_card_1_5.png,,/g/o/gold_gift_card_1_5.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=700,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_5.png,,,,,,,,,,,,
"Original Gold-1000",,Default,simple,"Default Category/Gift Card",base,"Original Gold-1000",,,0.1500,1,"Taxable Goods","Not Visible Individually",1000.0000,,,,original-gold-1000,"Original Gold","Original Gold"," ",/g/o/gold_gift_card_1_6.png,,/g/o/gold_gift_card_1_6.png,,/g/o/gold_gift_card_1_6.png,,/g/o/gold_gift_card_1_6.png,,"9/28/17, 4:17 AM","9/28/17, 4:17 AM",,,"Block after Info Column",,,,No,,,,,,,"Use config",,gift_card=1000,5000.0000,0.0000,1,0,0,1,1.0000,0,10000.0000,0,1,1.0000,1,1,1,1,0.0000,1,0,0,0,,,,,,,/g/o/gold_gift_card_1_6.png,,,,,,,,,,,,
